Jahr;Monat;Destination;Destination_tx;Kt;Bettenmonat;Ankuenfte;Logiernaechte;AKAL;LNAL;Betriebe;Betten;Zimmer;Zimmernächte;AKSchweiz;AKBaltischeStaaten;AKDeutschland;AKFrankreich;AKItalien;AKÖsterreich;AKVereinigtesKönigreich;AKIrland;AKNiederlande;AKBelgien;AKLuxemburg;AKDänemark;AKSchweden;AKNorwegen;AKFinnland;AKSpanien;AKPortugal;AKGriechenland;AKTürkei;AKÜbrigesEuropa;AKLiechtenstein;AKIsland;AKPolen;AKUngarn;AKBelarus;AKBulgarien;AKChile;AKVereinigteStaaten;AKKanada;AKBrasilien;AKArgentinien;AKZentralamerika.Karibik;AKÜbrigesSüdamerika;AKÄgypten;AKÜbrigesNordafrika;AKSüdafrika;AKÜbrigesAfrika;AKIsrael;AKIndien;AKIran;AKJapan;AKÜbrigesSüd_2undOstasien;AKAustralien.Neuseeland.Ozeanien;AKChina;AKGolfStaaten;AKHongkong;AKIndonesien;AKSüdkorea;AKMalaysia;AKPhilippinen;AKSingapur;AKTaiwan;AKThailand;AKÜbrigesWestasien;AKSerbien.Montenegro;AKKroatien;AKRumänien;AKRussland;AKSlowakei;AKSlowenien;AKTschechien;AKUkraine;AKMalta;AKZypern;AKAustralien;AKNeuseeland.Ozeanien;AKEstland;AKLettland;AKLitauen;AKSerbien;AKMexiko;AKÜbrigesZentralamerika.Karibik;AKBahrain;AKKatar;AKKuwait;AKOman;AKSaudi_1Arabien;AKVereinigteArabischeEmirate;LNSchweiz;LNBaltischeStaaten;LNDeutschland;LNFrankreich;LNItalien;LNÖsterreich;LNVereinigtesKönigreich;LNIrland;LNNiederlande;LNBelgien;LNLuxemburg;LNDänemark;LNSchweden;LNNorwegen;LNFinnland;LNSpanien;LNPortugal;LNGriechenland;LNTürkei;LNÜbrigesEuropa;LNLiechtenstein;LNIsland;LNPolen;LNUngarn;LNBelarus;LNBulgarien;LNChile;LNVereinigteStaaten;LNKanada;LNBrasilien;LNArgentinien;LNZentralamerika.Karibik;LNÜbrigesSüdamerika;LNÄgypten;LNÜbrigesNordafrika;LNSüdafrika;LNÜbrigesAfrika;LNIsrael;LNIndien;LNIran;LNJapan;LNÜbrigesSüd_2undOstasien;LNAustralien.Neuseeland.Ozeanien;LNChina;LNGolf-Staaten;LNHongkong;LNIndonesien;LNSüdkorea;LNMalaysia;LNPhilippinen;LNSingapur;LNTaiwan;LNThailand;LNÜbrigesWestasien;LNSerbien.Montenegro;LNKroatien;LNRumänien;LNRussland;LNSlowakei;LNSlowenien;LNTschechien;LNUkraine;LNMalta;LNZypern;LNAustralien;LNNeuseeland.Ozeanien;LNEstland;LNLettland;LNLitauen;LNSerbien;LNMexiko;LNÜbrigesZentralamerika.Karibik;LNBahrain;LNKatar;LNKuwait;LNOman;LNSaudi_1Arabien;LNVereinigteArabischeEmirate;SummeAK;SummeLN
2005;1;0;Rest Schweiz;8;57350;5645;13640;853;2941;62;1850;858;7140;4792;0;426;17;16;17;45;3;22;40;14;9;5;0;4;6;1;2;0;14;1;0;17;3;0;0;0;29;0;0;0;10;0;0;0;0;0;0;0;0;2;0;140;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10699;0;1504;20;38;37;228;6;84;187;82;48;8;0;18;16;1;3;0;39;4;0;23;3;0;0;0;73;0;0;0;35;0;0;0;0;0;0;0;0;10;0;445;0;0;0;0;9;6;0;0;0;0;0;0;0;0;0;6;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5645;13640
2005;1;0;Rest Schweiz;14;36208;2768;4303;1493;2553;35;1168;636;3630;1275;0;575;60;159;58;89;9;59;91;1;10;21;7;9;16;7;4;9;4;0;0;13;7;0;0;0;129;3;5;0;4;0;1;4;2;0;12;50;0;13;2;5;7;2;2;0;3;0;0;5;0;0;0;2;2;0;1;1;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1750;0;840;102;355;98;148;28;74;157;1;17;43;11;13;31;13;12;12;8;0;0;46;9;0;0;0;297;10;5;0;17;0;3;5;18;0;26;26;0;24;3;7;7;12;2;0;3;0;0;5;0;0;0;1;2;0;1;3;19;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2768;4303
2005;1;0;Rest Schweiz;15;59892;2790;10316;746;2279;73;1932;1075;7372;2044;0;379;33;52;25;19;0;20;40;0;2;1;2;0;5;1;2;12;0;0;0;3;1;0;1;0;22;2;6;0;0;2;2;8;0;0;14;0;0;4;2;1;12;1;5;3;6;5;7;2;0;2;21;0;4;2;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8037;0;973;85;105;66;90;0;53;104;0;2;1;72;0;19;1;2;48;0;6;0;10;1;0;2;0;133;6;6;0;0;18;11;14;0;0;69;0;0;6;7;10;78;6;26;14;10;17;28;13;0;15;92;0;15;2;1;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2790;10316
2005;1;0;Rest Schweiz;16;65503;2459;6471;276;747;49;2113;671;4753;2183;0;136;15;17;3;1;0;6;28;0;0;0;0;0;5;0;0;0;37;0;0;0;3;0;0;0;9;1;0;0;0;2;0;0;0;0;0;2;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5724;0;297;43;37;6;2;0;18;124;0;0;0;0;0;20;0;0;0;138;1;0;0;7;0;0;0;27;4;0;0;0;4;0;0;0;0;0;2;0;0;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2459;6471
2005;1;0;Rest Schweiz;17;25668;2041;5605;955;3006;32;828;456;3737;1086;0;497;70;67;58;39;0;23;9;0;3;3;5;0;17;4;9;6;1;5;0;6;5;0;1;0;45;4;1;0;0;0;0;1;0;2;7;3;0;9;0;3;3;3;0;0;13;0;0;0;2;0;11;0;4;5;4;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2599;0;1416;186;200;211;114;0;28;29;0;3;14;10;0;58;10;14;40;24;10;0;34;9;0;1;0;209;34;3;0;0;0;0;3;0;2;19;9;0;65;0;14;42;4;0;0;46;0;0;0;4;0;46;0;35;16;13;22;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2041;5605
2005;1;1;Heidiland;17;110329;11375;31873;3829;11974;92;3559;1824;18510;7546;0;2604;76;128;112;111;3;112;31;79;15;29;5;0;12;5;4;2;24;23;4;4;7;0;0;0;81;10;5;0;6;3;1;2;15;3;15;1;0;17;0;16;5;29;5;9;2;1;0;0;9;8;0;1;0;6;161;7;1;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19899;0;8226;209;369;275;413;10;289;63;127;25;89;5;0;45;10;9;6;70;127;16;5;22;0;0;10;305;20;10;0;12;16;5;3;25;7;37;8;0;33;0;44;9;151;5;45;2;1;0;0;25;8;0;1;0;7;713;9;1;41;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11375;31873
2005;1;2;St.Gallen-Bodensee;17;97216;11138;22893;5176;10268;93;3136;1808;17888;5962;7;2295;212;402;375;336;5;142;66;11;52;53;32;35;74;19;18;31;36;4;5;34;11;1;6;6;333;41;23;13;7;24;5;18;4;23;25;8;0;60;3;30;33;6;1;5;14;4;0;6;5;23;5;13;25;32;36;16;18;44;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12625;27;3987;443;812;598;601;19;351;120;16;80;125;96;49;158;36;26;54;82;11;14;63;19;4;19;7;852;110;47;31;14;61;6;64;11;34;72;63;0;184;11;72;175;18;2;11;39;15;0;10;11;73;11;19;42;113;124;42;20;62;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11138;22893
2005;1;3;Toggenburg;17;64046;5522;15847;1244;4779;71;2066;1108;9880;4278;0;999;21;26;11;5;0;39;34;1;2;2;9;3;0;0;0;0;0;0;0;2;0;0;0;0;3;1;3;0;3;0;0;8;56;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11068;6;3749;40;47;16;7;0;195;107;4;2;2;30;3;0;0;0;0;0;2;0;2;0;0;0;0;16;3;6;0;5;0;0;56;448;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5522;15847
2005;1;4;Zürichsee;17;28117;2125;4719;1030;2144;40;907;493;3469;1095;0;481;46;66;53;49;2;50;14;4;6;14;4;10;4;0;1;5;16;0;5;9;7;0;4;4;75;6;3;2;4;2;0;2;3;0;2;16;0;4;6;13;2;1;0;0;4;4;0;3;0;2;1;0;0;6;0;1;5;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2575;0;820;82;79;100;130;13;72;19;6;6;32;7;13;21;0;1;13;57;0;5;13;19;0;9;4;243;21;16;18;16;2;0;8;29;0;3;73;0;42;16;35;5;5;0;0;11;18;0;3;0;4;1;0;0;29;0;1;11;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2125;4719
2005;1;0;Rest Schweiz;20;116901;8100;19513;2868;6304;141;3771;2133;16144;5232;10;1506;292;217;96;82;6;88;86;0;12;22;5;7;15;8;8;7;43;4;1;29;20;5;9;0;112;30;23;0;2;7;0;1;5;0;1;4;0;12;1;24;12;3;2;0;1;0;0;0;2;0;5;15;2;1;7;3;3;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13209;20;3472;492;375;177;141;14;180;236;0;39;43;5;20;23;19;36;15;76;4;4;50;24;10;21;0;222;33;55;0;3;15;0;2;15;0;1;27;0;28;3;139;73;5;6;0;3;0;0;0;1;0;22;44;4;6;32;36;5;26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8100;19513
