Country,Country2,CountryLN,CountryAK
Total,Total,SummeLN,SummeAK
Ausland total,Ausland total,LNAL,AKAL
Schweiz,Schweiz,LNSchweiz,AKSchweiz
Deutschland,Deutschland,LNDeutschland,AKDeutschland
Österreich,Österreich,LNÖsterreich,AKÖsterreich
Italien,Italien,LNItalien,AKItalien
VereinigteStaaten,Vereinigte Staaten,LNVereinigteStaaten,AKVereinigteStaaten
Ägypten,Ägypten,LNÄgypten,AKÄgypten
Argentinien,Argentinien,LNArgentinien,AKArgentinien
Australien,Australien,LNAustralien,AKAustralien
Bahrain,Bahrain,LNBahrain,AKBahrain
Belarus,Belarus,LNBelarus,AKBelarus
Belgien,Belgien,LNBelgien,AKBelgien
Brasilien,Brasilien,LNBrasilien,AKBrasilien
Bulgarien,Bulgarien,LNBulgarien,AKBulgarien
Chile,Chile,LNChile,AKChile
China,China,LNChina,AKChina
Dänemark,Dänemark,LNDänemark,AKDänemark
Estland,Estland,LNEstland,AKEstland
Finnland,Finnland,LNFinnland,AKFinnland
Frankreich,Frankreich,LNFrankreich,AKFrankreich
Griechenland,Griechenland,LNGriechenland,AKGriechenland
Hongkong,Hongkong,LNHongkong,AKHongkong
Indien,Indien,LNIndien,AKIndien
Indonesien,Indonesien,LNIndonesien,AKIndonesien
Iran,Iran,LNIran,AKIran
Irland,Irland,LNIrland,AKIrland
Island,Island,LNIsland,AKIsland
Israel,Israel,LNIsrael,AKIsrael
Japan,Japan,LNJapan,AKJapan
Kanada,Kanada,LNKanada,AKKanada
Katar,Katar,LNKatar,AKKatar
Kroatien,Kroatien,LNKroatien,AKKroatien
Kuwait,Kuwait,LNKuwait,AKKuwait
Lettland,Lettland,LNLettland,AKLettland
Liechtenstein,Liechtenstein,LNLiechtenstein,AKLiechtenstein
Litauen,Litauen,LNLitauen,AKLitauen
Luxemburg,Luxemburg,LNLuxemburg,AKLuxemburg
Malaysia,Malaysia,LNMalaysia,AKMalaysia
Malta,Malta,LNMalta,AKMalta
Mexiko,Mexiko,LNMexiko,AKMexiko
Neuseeland.Ozeanien,"Neuseeland, Ozeanien",LNNeuseeland.Ozeanien,AKNeuseeland.Ozeanien
Niederlande,Niederlande,LNNiederlande,AKNiederlande
Norwegen,Norwegen,LNNorwegen,AKNorwegen
Oman,Oman,LNOman,AKOman
Philippinen,Philippinen,LNPhilippinen,AKPhilippinen
Polen,Polen,LNPolen,AKPolen
Portugal,Portugal,LNPortugal,AKPortugal
Rumänien,Rumänien,LNRumänien,AKRumänien
Russland,Russland,LNRussland,AKRussland
Saudi_1Arabien,Saudi-Arabien,LNSaudi_1Arabien,AKSaudi_1Arabien
Schweden,Schweden,LNSchweden,AKSchweden
Serbien,Serbien,LNSerbien,AKSerbien
Singapur,Singapur,LNSingapur,AKSingapur
Slowakei,Slowakei,LNSlowakei,AKSlowakei
Slowenien,Slowenien,LNSlowenien,AKSlowenien
Spanien,Spanien,LNSpanien,AKSpanien
Südafrika,Südafrika,LNSüdafrika,AKSüdafrika
Südkorea,Südkorea,LNSüdkorea,AKSüdkorea
Taiwan,Taiwan,LNTaiwan,AKTaiwan
Thailand,Thailand,LNThailand,AKThailand
Tschechien,Tschechien,LNTschechien,AKTschechien
Türkei,Türkei,LNTürkei,AKTürkei
ÜbrigesAfrika,Übriges Afrika,LNÜbrigesAfrika,AKÜbrigesAfrika
ÜbrigesEuropa,Übriges Europa,LNÜbrigesEuropa,AKÜbrigesEuropa
ÜbrigesNordafrika,Übriges Nordafrika,LNÜbrigesNordafrika,AKÜbrigesNordafrika
ÜbrigesSüd_2undOstasien,Übriges Süd- und Ostasien,LNÜbrigesSüd_2undOstasien,AKÜbrigesSüd_2undOstasien
ÜbrigesSüdamerika,Übriges Südamerika,LNÜbrigesSüdamerika,AKÜbrigesSüdamerika
ÜbrigesWestasien,Übriges Westasien,LNÜbrigesWestasien,AKÜbrigesWestasien
ÜbrigesZentralamerika.Karibik,"Übriges Zentralamerika, Karibik",LNÜbrigesZentralamerika.Karibik,AKÜbrigesZentralamerika.Karibik
Ukraine,Ukraine,LNUkraine,AKUkraine
Ungarn,Ungarn,LNUngarn,AKUngarn
VereinigteArabischeEmirate,Vereinigte Arabische Emirate,LNVereinigteArabischeEmirate,AKVereinigteArabischeEmirate
VereinigtesKönigreich,Vereinigtes Königreich,LNVereinigtesKönigreich,AKVereinigtesKönigreich
Zypern,Zypern,LNZypern,AKZypern
Australien.Neuseeland.Ozeanien,"Australien, Neuseeland, Ozeanien (bis 2009)",LNAustralien.Neuseeland.Ozeanien,AKAustralien.Neuseeland.Ozeanien
BaltischeStaaten,"Baltische Staaten (bis 2009)",LNBaltischeStaaten,AKBaltischeStaaten
Golf_1Staaten,"Golf-Staaten (bis 2010)",LNGolf_1Staaten,AKGolf_1Staaten
Serbien.Montenegro,"Serbien, Montenegro (bis 2009)",LNSerbien.Montenegro,AKSerbien.Montenegro
Zentralamerika.Karibik,"Zentralamerika, Karibik (bis 2010)",LNZentralamerika.Karibik,AKZentralamerika.Karibik
